Mussel_ID;id;Rep;Length(mm);Time_Machine;Time_real;Sensor_ID;Line_ID;Beaker_ID;Group;P_Status;Status;Intensity;Note
G65;Mussel_1;1;31.2;8:45-9:15;10:45-11:15;A;A1;1;CM;infected;infected;8;
P88;Mussel_2;1;33.5;8:45-9:15;10:45-11:15;A;A2;2;CM;uninfected;uninfected;0;
G48;Mussel_3;1;34.4;8:45-9:15;10:45-11:15;A;A3;3;HT;infected;infected;5;
P41;Mussel_4;1;28.9;8:45-9:15;10:45-11:15;A;A4;4;HT;uninfected;uninfected;0;
G84;Mussel_5;1;33.3;8:45-9:15;10:45-11:15;A;A5;5;HS;infected;infected;13;
P5;Mussel_6;1;33.5;8:45-9:15;10:45-11:15;A;A6;6;HS;uninfected;uninfected;0;
G51;Mussel_7;1;34;8:45-9:15;10:45-11:15;A;A7;7;Control;infected;infected;16;
P64;Mussel_8;1;30.6;8:45-9:15;10:45-11:15;A;A8;8;Control;uninfected;uninfected;0;
G18;Mussel_11;2;33;9:36-10:06;11:36-12:06;B;B1;9;CM;infected;infected;11;
P7;Mussel_12;2;30.8;9:36-10:06;11:36-12:06;B;B2;10;CM;uninfected;uninfected;0;
G52;Mussel_13;2;31.5;9:36-10:06;11:36-12:06;B;B3;11;HT;infected;infected;8;
P38;Mussel_14;2;34.6;9:36-10:06;11:36-12:06;B;B4;12;HT;uninfected;uninfected;0;
G35;Mussel_15;2;34.2;9:36-10:06;11:36-12:06;B;B5;13;HS;infected;infected;30;
P33;Mussel_16;2;29.8;9:36-10:06;11:36-12:06;B;B6;14;HS;uninfected;uninfected;0;
G43;Mussel_17;2;33.1;9:36-10:06;11:36-12:06;B;B7;15;Control;infected;infected;26;
P4;Mussel_18;2;28.9;9:36-10:06;11:36-12:06;B;B8;16;Control;uninfected;uninfected;0;
G23;Mussel_21;3;30;10:11-10:41;12:11-12:41;C;C1;17;CM;infected;infected;23;
B91;Mussel_22;3;30.8;10:11-10:41;12:11-12:41;C;C2;18;CM;uninfected;uninfected;0;
G12;Mussel_23;3;33.4;10:11-10:41;12:11-12:41;C;C3;19;HS;infected;infected;37;
B38;Mussel_24;3;30.9;10:11-10:41;12:11-12:41;C;C4;20;HS;uninfected;uninfected;0;
G68;Mussel_25;3;32.1;10:11-10:41;12:11-12:41;C;C5;21;HT;infected;infected;4;
B18;Mussel_26;3;30.2;10:11-10:41;12:11-12:41;C;C6;22;HT;uninfected;uninfected;0;
G86;Mussel_27;3;31;10:11-10:41;12:11-12:41;C;C7;23;Control;infected;infected;17;
B56;Mussel_28;3;34.6;10:11-10:41;12:11-12:41;C;C8;24;Control;uninfected;uninfected;0;
Y41;Mussel_31;4;30;10:48-11:18;12:48-13:18;A;A1;1;CM;infected;infected;6;
B61;Mussel_32;4;34.9;10:48-11:18;12:48-13:18;A;A2;2;CM;uninfected;uninfected;0;
Y82;Mussel_33;4;32.4;10:48-11:18;12:48-13:18;A;A3;3;HS;infected;infected;13;
B73;Mussel_34;4;34.4;10:48-11:18;12:48-13:18;A;A4;4;HS;uninfected;uninfected;0;
Y32;Mussel_35;4;31.8;10:48-11:18;12:48-13:18;A;A5;5;HT;infected;infected;8;
B87;Mussel_36;4;34.9;10:48-11:18;12:48-13:18;A;A6;6;HT;uninfected;uninfected;0;
Y17;Mussel_37;4;29.1;10:48-11:18;12:48-13:18;A;A7;7;Control;infected;infected;30;
B35;Mussel_38;4;28.2;10:48-11:18;12:48-13:18;A;A8;8;Control;uninfected;uninfected;0;
G49;Mussel_41;5;33.7;11:15-11:45;13:15-13:45;B;B1;9;CM;infected;infected;6;
P62;Mussel_42;5;34;11:15-11:45;13:15-13:45;B;B2;10;CM;uninfected;uninfected;0;
G30;Mussel_43;5;31;11:15-11:45;13:15-13:45;B;B3;11;HS;infected;infected;20;
P16;Mussel_44;5;35;11:15-11:45;13:15-13:45;B;B4;12;HS;uninfected;uninfected;0;
G13;Mussel_45;5;32.9;11:15-11:45;13:15-13:45;B;B5;13;HT;infected;infected;14;
P40;Mussel_46;5;28.8;11:15-11:45;13:15-13:45;B;B6;14;HT;uninfected;uninfected;0;
G27;Mussel_47;5;28.1;11:15-11:45;13:15-13:45;B;B7;15;Control;infected;infected;7;
P58;Mussel_48;5;34.6;11:15-11:45;13:15-13:45;B;B8;16;Control;uninfected;uninfected;0;
G29;Mussel_51;6;34;11:51-12:21;13:51-14:21;C;C1;17;CM;infected;infected;11;
P51;Mussel_52;6;31;11:51-12:21;13:51-14:21;C;C2;18;CM;uninfected;uninfected;0;
G50;Mussel_53;6;32.3;11:51-12:21;13:51-14:21;C;C3;19;HS;infected;infected;8;
P67;Mussel_54;6;32.9;11:51-12:21;13:51-14:21;C;C4;20;HS;uninfected;uninfected;0;
G70;Mussel_55;6;30;11:51-12:21;13:51-14:21;C;C5;21;HT;infected;infected;8;
P60;Mussel_56;6;29.3;11:51-12:21;13:51-14:21;C;C6;22;HT;uninfected;uninfected;0;
G76;Mussel_57;6;33.3;11:51-12:21;13:51-14:21;C;C7;23;Control;infected;infected;6;
P82;Mussel_58;6;30.4;11:51-12:21;13:51-14:21;C;C8;24;Control;uninfected;uninfected;0;
G81;Mussel_61;7;30;12:24-12:54;14:24-14:54;A;A1;1;CM;infected;infected;18;
B78;Mussel_62;7;34.2;12:24-12:54;14:24-14:54;A;A2;2;CM;uninfected;uninfected;0;
G59;Mussel_63;7;33;12:24-12:54;14:24-14:54;A;A3;3;HS;infected;infected;26;
B44;Mussel_64;7;30.8;12:24-12:54;14:24-14:54;A;A4;4;HS;uninfected;uninfected;0;
G9;Mussel_65;7;31;12:24-12:54;14:24-14:54;A;A5;5;HT;infected;infected;4;
B70;Mussel_66;7;30.9;12:24-12:54;14:24-14:54;A;A6;6;HT;uninfected;uninfected;0;
G16;Mussel_67;7;33.5;12:24-12:54;14:24-14:54;A;A7;7;Control;infected;infected;6;
B39;Mussel_68;7;31.9;12:24-12:54;14:24-14:54;A;A8;8;Control;uninfected;uninfected;0;
G54;Mussel_71;8;31;12:48-13:18;14:48-15:18;B;B1;9;CM;infected;infected;6;
B85;Mussel_72;8;31.6;12:48-13:18;14:48-15:18;B;B2;10;CM;uninfected;uninfected;0;
G7;Mussel_73;8;34.2;12:48-13:18;14:48-15:18;B;B3;11;HS;infected;infected;2;
B80;Mussel_74;8;28.7;12:48-13:18;14:48-15:18;B;B4;12;HS;uninfected;uninfected;0;
G4;Mussel_75;8;32.5;12:48-13:18;14:48-15:18;B;B5;13;HT;infected;infected;27;
B19;Mussel_76;8;32.2;12:48-13:18;14:48-15:18;B;B6;14;HT;uninfected;uninfected;0;
G73;Mussel_77;8;31;12:48-13:18;14:48-15:18;B;B7;15;Control;infected;infected;14;
B83;Mussel_78;8;30.9;12:48-13:18;14:48-15:18;B;B8;16;Control;uninfected;uninfected;0;
Y29;Mussel_81;9;34.3;13:26-13:56;15:26-15:56;C;C1;17;CM;infected;infected;15;
B69;Mussel_82;9;31.2;13:26-13:56;15:26-15:56;C;C2;18;CM;uninfected;uninfected;0;
Y14;Mussel_83;9;34.6;13:26-13:56;15:26-15:56;C;C3;19;HS;infected;infected;4;
B93;Mussel_84;9;34.9;13:26-13:56;15:26-15:56;C;C4;20;HS;uninfected;uninfected;0;
Y86;Mussel_85;9;28.1;13:26-13:56;15:26-15:56;C;C5;21;HT;infected;infected;33;
B74;Mussel_86;9;32.5;13:26-13:56;15:26-15:56;C;C6;22;HT;uninfected;uninfected;0;
Y85;Mussel_87;9;30.4;13:26-13:56;15:26-15:56;C;C7;23;Control;infected;infected;17;
B15;Mussel_88;9;34.2;13:26-13:56;15:26-15:56;C;C8;24;Control;uninfected;uninfected;0;
Y57;Mussel_91;10;33;14:00-14:30;16:00-16:30;A;A1;1;CM;infected;infected;12;
B11;Mussel_92;10;33.5;14:00-14:30;16:00-16:30;A;A2;2;CM;uninfected;uninfected;0;
Y88;Mussel_93;10;31.6;14:00-14:30;16:00-16:30;A;A3;3;HS;infected;infected;15;
B54;Mussel_94;10;34.4;14:00-14:30;16:00-16:30;A;A4;4;HS;uninfected;uninfected;0;
Y92;Mussel_95;10;30.8;14:00-14:30;16:00-16:30;A;A5;5;HT;infected;infected;NA;died
B37;Mussel_96;10;32;14:00-14:30;16:00-16:30;A;A6;6;HT;uninfected;uninfected;0;
Y33;Mussel_97;10;28.4;14:00-14:30;16:00-16:30;A;A7;7;Control;infected;infected;21;
B33;Mussel_98;10;27.3;14:00-14:30;16:00-16:30;A;A8;8;Control;uninfected;uninfected;0;
Y48;Mussel_101;11;31.9;14:27-14:57;16:27-16:57;B;B1;9;CM;infected;uninfected;0;
B84;Mussel_102;11;34.4;14:27-14:57;16:27-16:57;B;B2;10;CM;uninfected;uninfected;0;
Y35;Mussel_103;11;31.2;14:27-14:57;16:27-16:57;B;B3;11;HS;infected;infected;12;
B65;Mussel_104;11;33.5;14:27-14:57;16:27-16:57;B;B4;12;HS;uninfected;uninfected;0;
Y4;Mussel_105;11;29.3;14:27-14:57;16:27-16:57;B;B5;13;HT;infected;infected;9;
B48;Mussel_106;11;33.6;14:27-14:57;16:27-16:57;B;B6;14;HT;uninfected;uninfected;0;
Y34;Mussel_107;11;31.2;14:27-14:57;16:27-16:57;B;B7;15;Control;infected;infected;120;
B45;Mussel_108;11;32;14:27-14:57;16:27-16:57;B;B8;16;Control;uninfected;uninfected;0;
G17;Mussel_111;12;32;15:03-15:33;17:03-17:33;C;C1;17;CM;infected;infected;12;
B98;Mussel_112;12;32.6;15:03-15:33;17:03-17:33;C;C2;18;CM;uninfected;uninfected;0;
G26;Mussel_113;12;33.6;15:03-15:33;17:03-17:33;C;C3;19;HS;infected;infected;4;
B23;Mussel_114;12;30.8;15:03-15:33;17:03-17:33;C;C4;20;HS;uninfected;uninfected;0;
G89;Mussel_115;12;29;15:03-15:33;17:03-17:33;C;C5;21;HT;infected;infected;2;
B47;Mussel_116;12;28.9;15:03-15:33;17:03-17:33;C;C6;22;HT;uninfected;uninfected;0;
G63;Mussel_117;12;33.4;15:03-15:33;17:03-17:33;C;C7;23;Control;infected;infected;3;
B22;Mussel_118;12;30;15:03-15:33;17:03-17:33;C;C8;24;Control;uninfected;uninfected;0;
Y83;Mussel_121;13;33.2;15:25-15:55;17:25-17:55;A;A1;1;CM;infected;infected;27;
P27;Mussel_122;13;34;15:25-15:55;17:25-17:55;A;A2;2;CM;uninfected;uninfected;0;
Y39;Mussel_123;13;30;15:25-15:55;17:25-17:55;A;A3;3;HS;infected;infected;5;
P86;Mussel_124;13;33.8;15:25-15:55;17:25-17:55;A;A4;4;HS;uninfected;uninfected;0;
Y47;Mussel_125;13;28.2;15:25-15:55;17:25-17:55;A;A5;5;HT;infected;infected;11;
P14;Mussel_126;13;33.9;15:25-15:55;17:25-17:55;A;A6;6;HT;uninfected;uninfected;0;
Y25;Mussel_127;13;32.7;15:25-15:55;17:25-17:55;A;A7;7;Control;infected;infected;33;
P26;Mussel_128;13;34;15:25-15:55;17:25-17:55;A;A8;8;Control;uninfected;uninfected;0;
G36;Mussel_131;14;30;16:00-16:30;18:00-18:30;B;B1;9;CM;infected;infected;NA;died
P17;Mussel_132;14;29.1;16:00-16:30;18:00-18:30;B;B2;10;CM;uninfected;uninfected;0;
G28;Mussel_133;14;31.1;16:00-16:30;18:00-18:30;B;B3;11;HS;infected;infected;17;
P43;Mussel_134;14;30.8;16:00-16:30;18:00-18:30;B;B4;12;HS;uninfected;uninfected;0;
G64;Mussel_135;14;32.4;16:00-16:30;18:00-18:30;B;B5;13;HT;infected;infected;46;
P63;Mussel_136;14;29.3;16:00-16:30;18:00-18:30;B;B6;14;HT;uninfected;uninfected;0;
G92;Mussel_137;14;33.5;16:00-16:30;18:00-18:30;B;B7;15;Control;infected;infected;70;
P29;Mussel_138;14;34.1;16:00-16:30;18:00-18:30;B;B8;16;Control;uninfected;uninfected;0;
Y6;Mussel_141;15;29.8;8:23-8:53;10:23-10:53;C;C1;17;CM;infected;infected;12;
P45;Mussel_142;15;33.7;8:23-8:53;10:23-10:53;C;C2;18;CM;uninfected;uninfected;0;
Y43;Mussel_143;15;29;8:23-8:53;10:23-10:53;C;C3;19;HS;infected;infected;23;
P52;Mussel_144;15;30;8:23-8:53;10:23-10:53;C;C4;20;HS;uninfected;uninfected;0;
Y24;Mussel_145;15;34.5;8:23-8:53;10:23-10:53;C;C5;21;HT;infected;infected;12;
P23;Mussel_146;15;34.5;8:23-8:53;10:23-10:53;C;C6;22;HT;uninfected;uninfected;0;
Y40;Mussel_147;15;30.6;8:23-8:53;10:23-10:53;C;C7;23;Control;infected;infected;14;
P18;Mussel_148;15;33;8:23-8:53;10:23-10:53;C;C8;24;Control;uninfected;uninfected;0;
Y18;Mussel_151;16;31.5;8:50-9:20;10:50-11:20;A;A1;1;CM;infected;infected;16;
P84;Mussel_152;16;30.4;8:50-9:20;10:50-11:20;A;A2;2;CM;uninfected;uninfected;0;
Y58;Mussel_153;16;32.4;8:50-9:20;10:50-11:20;A;A3;3;HS;infected;infected;10;
P57;Mussel_154;16;30;8:50-9:20;10:50-11:20;A;A4;4;HS;uninfected;uninfected;0;
Y7;Mussel_155;16;31.2;8:50-9:20;10:50-11:20;A;A5;5;HT;infected;infected;9;
P68;Mussel_156;16;27.3;8:50-9:20;10:50-11:20;A;A6;6;HT;uninfected;uninfected;0;
Y13;Mussel_157;16;31.6;8:50-9:20;10:50-11:20;A;A7;7;Control;infected;infected;6;
P65;Mussel_158;16;32;8:50-9:20;10:50-11:20;A;A8;8;Control;uninfected;uninfected;0;
Y78;Mussel_161;17;29.2;9:23-9:53;11:23-11:53;B;B1;9;CM;infected;infected;3;
B72;Mussel_162;17;31.2;9:23-9:53;11:23-11:53;B;B2;10;CM;uninfected;uninfected;0;
Y87;Mussel_163 ;17;34;9:23-9:53;11:23-11:53;B;B3;11;HS;infected;infected;20;
B82;Mussel_164;17;29.8;9:23-9:53;11:23-11:53;B;B4;12;HS;uninfected;uninfected;0;
Y75;Mussel_165;17;29;9:23-9:53;11:23-11:53;B;B5;13;HT;infected;infected;23;
B49;Mussel_166;17;32.1;9:23-9:53;11:23-11:53;B;B6;14;HT;uninfected;uninfected;0;
Y84;Mussel_167;17;28.8;9:23-9:53;11:23-11:53;B;B7;15;Control;infected;infected;6;
B96;Mussel_168;17;34.9;9:23-9:53;11:23-11:53;B;B8;16;Control;uninfected;uninfected;0;
Y15;Mussel_171;18;32.6;10:00-10:30;12:00-12:30;C;C1;17;CM;infected;infected;11;
P25;Mussel_172;18;34.4;10:00-10:30;12:00-12:30;C;C2;18;CM;uninfected;uninfected;0;
Y10;Mussel_173;18;33.7;10:00-10:30;12:00-12:30;C;C3;19;HS;infected;infected;4;
P22;Mussel_174;18;35;10:00-10:30;12:00-12:30;C;C4;20;HS;uninfected;uninfected;0;
Y38;Mussel_175;18;32.2;10:00-10:30;12:00-12:30;C;C5;21;HT;infected;infected;9;
P6;Mussel_176;18;33;10:00-10:30;12:00-12:30;C;C6;22;HT;uninfected;uninfected;0;
Y46;Mussel_177;18;33.5;10:00-10:30;12:00-12:30;C;C7;23;Control;infected;infected;2;
P53;Mussel_178;18;29.1;10:00-10:30;12:00-12:30;C;C8;24;Control;uninfected;uninfected;0;
Y59;Mussel_181;19;33.3;10:22-10:52;12:22-12:52;A;A1;1;CM;infected;infected;6;
B51;Mussel_182 ;19;34.9;10:22-10:52;12:22-12:52;A;A2;2;CM;uninfected;uninfected;0;
Y19;Mussel_183;19;32.8;10:22-10:52;12:22-12:52;A;A3;3;HS;infected;infected;31;
B59;Mussel_184;19;30;10:22-10:52;12:22-12:52;A;A4;4;HS;uninfected;uninfected;0;
Y16;Mussel_185;19;34.7;10:22-10:52;12:22-12:52;A;A5;5;HT;infected;infected;2;
B60;Mussel_186;19;32.1;10:22-10:52;12:22-12:52;A;A6;6;HT;uninfected;uninfected;0;
Y20;Mussel_187;19;34.3;10:22-10:52;12:22-12:52;A;A7;7;Control;infected;infected;4;
B12;Mussel_188;19;32.1;10:22-10:52;12:22-12:52;A;A8;8;Control;uninfected;uninfected;0;
G72;Mussel_191;20;33.3;10:53-11:23;12:53-13:23;B;B1;9;CM;infected;infected;14;
B67;Mussel_192;20;33.2;10:53-11:23;12:53-13:23;B;B2;10;CM;uninfected;uninfected;0;
G94;Mussel_193;20;34;10:53-11:23;12:53-13:23;B;B3;11;HS;infected;infected;19;
B90;Mussel_194;20;33.8;10:53-11:23;12:53-13:23;B;B4;12;HS;uninfected;uninfected;0;
G8;Mussel_195;20;31;10:53-11:23;12:53-13:23;B;B5;13;HT;infected;infected;NA;died
B34;Mussel_196;20;33.5;10:53-11:23;12:53-13:23;B;B6;14;HT;uninfected;uninfected;0;
G46;Mussel_197;20;28.3;10:53-11:23;12:53-13:23;B;B7;15;Control;infected;infected;100;
B99;Mussel_198;20;31;10:53-11:23;12:53-13:23;B;B8;16;Control;uninfected;uninfected;0;
G97;Mussel_201;21;31.1;11:32-12:02;13:32:14:02;C;C1;17;CM;infected;infected;14;
P10;Mussel_202;21;30;11:32-12:02;13:32:14:02;C;C2;18;CM;uninfected;uninfected;0;
G62;Mussel_203;21;32.3;11:32-12:02;13:32:14:02;C;C3;19;HS;infected;infected;7;
P44;Mussel_204;21;33.4;11:32-12:02;13:32:14:02;C;C4;20;HS;uninfected;uninfected;0;
G61;Mussel_205;21;34.7;11:32-12:02;13:32:14:02;C;C5;21;HT;infected;infected;13;
P8;Mussel_206;21;34.2;11:32-12:02;13:32:14:02;C;C6;22;HT;uninfected;uninfected;0;
G90;Mussel_207;21;28.3;11:32-12:02;13:32:14:02;C;C7;23;Control;infected;infected;10;
P66;Mussel_208;21;30;11:32-12:02;13:32:14:02;C;C8;24;Control;uninfected;uninfected;0;
G19;Mussel_211;22;34.1;12:00-12:30;14:00-14:30;A;A1;1;CM;infected;infected;33;
P70;Mussel_212;22;34;12:00-12:30;14:00-14:30;A;A2;2;CM;uninfected;uninfected;0;
G80;Mussel_213;22;32;12:00-12:30;14:00-14:30;A;A3;3;HS;infected;infected;7;
P61;Mussel_214;22;33.5;12:00-12:30;14:00-14:30;A;A4;4;HS;uninfected;uninfected;0;
G75;Mussel_215;22;28.3;12:00-12:30;14:00-14:30;A;A5;5;HT;infected;infected;5;
P35;Mussel_216;22;30.8;12:00-12:30;14:00-14:30;A;A6;6;HT;uninfected;uninfected;0;
G82;Mussel_217;22;29.5;12:00-12:30;14:00-14:30;A;A7;7;Control;infected;infected;18;
P21;Mussel_218;22;34.8;12:00-12:30;14:00-14:30;A;A8;8;Control;uninfected;uninfected;0;
Y28;Mussel_221;23;33.2;12:34-13:04;14:34-15:04;B;B1;9;CM;infected;infected;4;
B75;Mussel_222;23;31.1;12:34-13:04;14:34-15:04;B;B2;10;CM;uninfected;uninfected;0;
Y77;Mussel_223;23;29;12:34-13:04;14:34-15:04;B;B3;11;HS;infected;infected;3;
B55;Mussel_224;23;33.6;12:34-13:04;14:34-15:04;B;B4;12;HS;uninfected;uninfected;0;
Y12;Mussel_225;23;34.8;12:34-13:04;14:34-15:04;B;B5;13;HT;infected;infected;401;
B63;Mussel_226;23;34.8;12:34-13:04;14:34-15:04;B;B6;14;HT;uninfected;uninfected;0;
Y3;Mussel_227;23;32.2;12:34-13:04;14:34-15:04;B;B7;15;Control;infected;infected;17;
B50;Mussel_228;23;33.9;12:34-13:04;14:34-15:04;B;B8;16;Control;uninfected;uninfected;0;
G44;Mussel_231;24;34.4;13:02-13:32;15:02-15:32;C;C1;17;CM;infected;uninfected;0;
B28;Mussel_232;24;31.5;13:02-13:32;15:02-15:32;C;C2;18;CM;uninfected;uninfected;0;
G98;Mussel_233;24;33.6;13:02-13:32;15:02-15:32;C;C3;19;HS;infected;infected;12;
B21;Mussel_234;24;32.1;13:02-13:32;15:02-15:32;C;C4;20;HS;uninfected;uninfected;0;
G21;Mussel_235;24;34;13:02-13:32;15:02-15:32;C;C5;21;HT;infected;infected;15;
B79;Mussel_236;24;30.2;13:02-13:32;15:02-15:32;C;C6;22;HT;uninfected;uninfected;0;
G37;Mussel_237;24;29.4;13:02-13:32;15:02-15:32;C;C7;23;Control;infected;infected;10;
B62;Mussel_238;24;30;13:02-13:32;15:02-15:32;C;C8;24;Control;uninfected;uninfected;0;
Y49;Mussel_241;25;32.4;13:30-14:00;15:30-16:00;A;A1;1;CM;infected;infected;2;
P54;Mussel_242;25;32.2;13:30-14:00;15:30-16:00;A;A2;2;CM;uninfected;uninfected;0;
Y51;Mussel_243;25;34;13:30-14:00;15:30-16:00;A;A3;3;HS;infected;infected;4;
P28;Mussel_244;25;30;13:30-14:00;15:30-16:00;A;A4;4;HS;uninfected;uninfected;0;
Y36;Mussel_245;25;31.1;13:30-14:00;15:30-16:00;A;A5;5;HT;infected;infected;4;
P55;Mussel_246;25;31.8;13:30-14:00;15:30-16:00;A;A6;6;HT;uninfected;uninfected;0;
Y31;Mussel_247;25;29;13:30-14:00;15:30-16:00;A;A7;7;Control;infected;infected;8;
P11;Mussel_248;25;34;13:30-14:00;15:30-16:00;A;A8;8;Control;uninfected;uninfected;0;
G10;Mussel_251;26;33;14:00-14:30;16:00-16:30;B;B1;9;CM;infected;infected;6;
B86;Mussel_252;26;30.1;14:00-14:30;16:00-16:30;B;B2;10;CM;uninfected;uninfected;0;
G67;Mussel_253;26;33.5;14:00-14:30;16:00-16:30;B;B3;11;HS;infected;infected;8;
B95;Mussel_254;26;31.1;14:00-14:30;16:00-16:30;B;B4;12;HS;uninfected;uninfected;0;
G14;Mussel_255;26;34.1;14:00-14:30;16:00-16:30;B;B5;13;HT;infected;infected;2;
B81;Mussel_256;26;33.4;14:00-14:30;16:00-16:30;B;B6;14;HT;uninfected;uninfected;0;
G5;Mussel_257;26;28.5;14:00-14:30;16:00-16:30;B;B7;15;Control;infected;infected;15;
B16;Mussel_258;26;30.6;14:00-14:30;16:00-16:30;B;B8;16;Control;uninfected;uninfected;0;
Y6;Mussel_261;27;29.8;8:25-8:55;10:25-10:55;C;C1;17;CM;infected;infected;12;
B66;Mussel_262;27;33.5;8:25-8:55;10:25-10:55;C;C2;18;CM;uninfected;uninfected;0;
Y69;Mussel_263;27;33.5;8:25-8:55;10:25-10:55;C;C3;19;HS;infected;infected;11;
B77;Mussel_264;27;28.6;8:25-8:55;10:25-10:55;C;C4;20;HS;uninfected;uninfected;0;
Y74;Mussel_265;27;32.4;8:25-8:55;10:25-10:55;C;C5;21;HT;infected;infected;21;
B40;Mussel_266;27;29.6;8:25-8:55;10:25-10:55;C;C6;22;HT;uninfected;uninfected;0;
Y45;Mussel_267;27;32;8:25-8:55;10:25-10:55;C;C7;23;Control;infected;infected;3;
B41;Mussel_268;27;35;8:25-8:55;10:25-10:55;C;C8;24;Control;uninfected;uninfected;0;
Y37;Mussel_271;28;28.9;8:47-9:17;10:47-11:17;A;A1;1;CM;infected;infected;2;
P55;Mussel_272;28;31.8;8:47-9:17;10:47-11:17;A;A2;2;CM;uninfected;uninfected;0;
Y81;Mussel_273;28;33.1;8:47-9:17;10:47-11:17;A;A3;3;HS;infected;infected;18;
P56;Mussel_274;28;28.4;8:47-9:17;10:47-11:17;A;A4;4;HS;uninfected;uninfected;0;
Y67;Mussel_275;28;31.7;8:47-9:17;10:47-11:17;A;A5;5;HT;infected;infected;96;
P9;Mussel_276;28;31.2;8:47-9:17;10:47-11:17;A;A6;6;HT;uninfected;uninfected;0;
Y62;Mussel_277;28;30;8:47-9:17;10:47-11:17;A;A7;7;Control;infected;infected;9;
P2;Mussel_278;28;34.1;8:47-9:17;10:47-11:17;A;A8;8;Control;uninfected;uninfected;0;
G39;Mussel_281;29;31;9:15-9:45;11:15-11:45;B;B1;9;CM;infected;infected;13;
B89;Mussel_282;29;32.1;9:15-9:45;11:15-11:45;B;B2;10;CM;uninfected;uninfected;0;
G11;Mussel_283;29;32;9:15-9:45;11:15-11:45;B;B3;11;HS;infected;infected;1;
B71;Mussel_284;29;30.8;9:15-9:45;11:15-11:45;B;B4;12;HS;uninfected;uninfected;0;
G33;Mussel_285;29;28.1;9:15-9:45;11:15-11:45;B;B5;13;HT;infected;infected;28;
B1;Mussel_286;29;35.6;9:15-9:45;11:15-11:45;B;B6;14;HT;uninfected;uninfected;0;
G88;Mussel_287;29;34.6;9:15-9:45;11:15-11:45;B;B7;15;Control;infected;infected;12;
B76;Mussel_288;29;30;9:15-9:45;11:15-11:45;B;B8;16;Control;uninfected;uninfected;0;
G53;Mussel_291;30;32.2;10:01-10:31;12:01-12:31;C;C1;17;CM;infected;infected;3;
P31;Mussel_292;30;33;10:01-10:31;12:01-12:31;C;C2;18;CM;uninfected;uninfected;0;
G47;Mussel_293;30;32;10:01-10:31;12:01-12:31;C;C3;19;HS;infected;infected;31;
P12;Mussel_294;30;34.2;10:01-10:31;12:01-12:31;C;C4;20;HS;uninfected;uninfected;0;
G77;Mussel_295;30;33.2;10:01-10:31;12:01-12:31;C;C5;21;HT;infected;infected;33;
P3;Mussel_296;30;34.4;10:01-10:31;12:01-12:31;C;C6;22;HT;uninfected;uninfected;0;
Y63;Mussel_297;30;30.6;10:01-10:31;12:01-12:31;C;C7;23;Control;infected;infected;8;
P83;Mussel_298;30;31.1;10:01-10:31;12:01-12:31;C;C8;24;Control;uninfected;uninfected;0;